"","square_meters","bathrooms_number","lift","rooms_number","other_features","availability","condominium_fees","year_of_construction","conditions","floor","heating_centralized","selling_price","binary_car_parking","Macro_zone","score_feature"
"20",400,"1","yes","3","hydromassage | electric gate | fireplace | optic fiber | video entryphone | security door | external exposure | closet | full day concierge | centralized tv system | furnished","available",157,1978,"good condition / liveable",7,"central",540000,"no","Esterno",15.325
"21",127,"2","no","3","optic fiber | alarm system | security door | internal exposure | closet | balcony | terrace | centralized tv system | furnished | window frames in double glass / pvc","available",72,1970,"excellent / refurbished",2,"independent",730000,"no","Esterno",10.728
"22",53,"1","yes","2","electric gate | security door | internal exposure | balcony | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvc","available",40,1960,"excellent / refurbished",3,"central",380000,"no","Circonvalla",9.449
"23",70,"1","yes","2","balcony | cellar | shared garden","unknown",89,1965,"good condition / liveable",3,"central",178000,"yes","Esterno",1.888
"24",59,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | closet | full day concierge | centralized tv system | shared garden | window frames in double glass / metal","available",89,1970,"excellent / refurbished",4,"central",324000,"yes","Esterno",9.472
"25",130,"2","yes","4","security door | balcony | cellar","available",332,1976,"new / under construction",2,"central",1110000,"no","Circonvalla",1.251
"26",75,"1","yes","3","security door | balcony | full day concierge | centralized tv system | partially furnished | window frames in double glass / pvcdouble exposure","available",102,1970,"excellent / refurbished",1,"central",335000,"no","Esterno",5.67
"27",65,"1","no","2","balcony | shared garden","available",54,1951,"good condition / liveable",2,"central",208000,"no","Esterno",1.346
"28",133,"2","no","3","electric gate | optic fiber | video entryphone | security door | centralized tv system | partially furnished | shared garden | window frames in double glass / metal | double exposure","unknown",216,1956,"excellent / refurbished",0,"independent",525000,"yes","Esterno",8.394
"29",68,"1","no","2","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | terrace | centralized tv system | window frames in double glass / pvc","available",2,2024,"excellent / refurbished",1,"independent",355000,"no","Esterno",8.634
"30",68,"1","no","2","external exposure | balcony | single tv system","available",54,1972,"good condition / liveable",0.5,"central",159000,"no","Esterno",4.998
"31",130,"2","yes","4","optic fiber | video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood","available",273,1945,"to be refurbished",1,"central",1250000,"no","Centro_Storico",7.748
"32",87,"1","yes","3","electric gate | security door | internal exposure | balcony | full day concierge | single tv system | cellar | shared garden | window frames in double glass / pvc","unknown",69,1970,"good condition / liveable",0.5,"central",210000,"no","Esterno",9.825
"33",40,"1","yes","2","tavern | optic fiber | security door | internal exposure | closet | centralized tv system | cellar | private garden | window frames in glass / pvc","available",69,1920,"to be refurbished",0,"independent",350000,"no","Circonvalla",15.196
"34",90,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","available",69,1985,"excellent / refurbished",7,"independent",340000,"no","Esterno",8.446
"35",158,"2","yes","4","electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",332,2026,"new / under construction",5,"central",730400,"no","Esterno",7.161
"37",75,"1","yes","2","electric gate | optic fiber | video entryphone | balcony | full day concierge | centralized tv system | cellar","available",95,1963,"good condition / liveable",1,"central",199000,"no","Esterno",4.288
"38",51,"1","no","2","kitchen | furnished | cellar | shared garden | exposure north, south","available",295,1957,"excellent / refurbished",1,"independent",250000,"no","Esterno",12.998
"39",110,"2","yes","4","security door | balcony | cellar","available",332,1970,"new / under construction",1,"central",816000,"no","Circonvalla",1.251
"40",75,"1","yes","2","video entryphone | balcony | full day concierge | cellar","unknown",95,1976,"good condition / liveable",4,"central",220000,"no","Esterno",2.751
"41",117,"2","yes","3","terrace | single tv system | cellar | private garden","available",332,1956,"new / under construction",0,"independent",365000,"yes","Esterno",7.632
"42",185,"3","yes","4","optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | only kitchen furnished | cellar | window frames in double glass / pvc","unknown",273,1970,"excellent / refurbished",3,"central",1700000,"yes","Circonvalla",9.458
"43",100,"1","yes","3","electric gate | attic | optic fiber | video entryphone | security door | closet | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / wood | double exposure","available",165,1970,"good condition / liveable",1,"central",450000,"yes","Esterno",14.269
"44",180,"3","yes","5","video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / metal","available",282,1960,"excellent / refurbished",4,"central",1180000,"no","Esterno",5.301
"45",114,"2","no","3","security door | balcony | single tv system | cellar | private garden | window frames in double glass / pvcdouble exposure","unknown",332,1930,"good condition / liveable",1,"independent",240000,"yes","Esterno",8.646
"46",100,"2","yes","3","fireplace | optic fiber | security door | closet | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","unknown",89,1920,"to be refurbished",5,"central",640000,"no","Centro_Storico",11.45
"47",270,"1","no","5","electric gate | optic fiber | video entryphone | alarm system | internal exposure | centralized tv system | window frames in double glass / metal","available",76,2004,"excellent / refurbished",0,"independent",470000,"no","Esterno",7.378
"48",162,"2","yes","4","hydromassage | optic fiber | video entryphone | alarm system | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / metal | double exposure","available",199,1962,"excellent / refurbished",1,"central",790000,"no","Esterno",13.181
"51",61,"1","yes","2","optic fiber | video entryphone | security door | external exposure | closet | centralized tv system | window frames in double glass / wood","unknown",332,1920,"excellent / refurbished",2,"independent",425900,"no","Circonvalla",6.645
"52",90,"1","yes","3","security door | balcony | half-day concierge | centralized tv system | window frames in double glass / metal | double exposure","available",142,1910,"good condition / liveable",4,"central",625000,"no","Esterno",6.367
"53",64,"1","yes","2","electric gate | optic fiber | security door | internal exposure | closet | centralized tv system | cellar | window frames in double glass / metal","available",184,2009,"excellent / refurbished",0.5,"independent",259000,"no","Esterno",7.239
"54",50,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvc","available",54,1960,"new / under construction",0,"central",359000,"no","Circonvalla",9.044
"55",122,"2","yes","3","tennis court | video entryphone | security door | balcony | terrace | partially furnished | cellar | window frames in double glass / pvcdouble exposure","available",76,2006,"excellent / refurbished",4,"independent",399000,"yes","Esterno",12.527
"56",55,"1","yes","1","video entryphone | security door | external exposure | centralized tv system | window frames in double glass / metal","available",36,1970,"good condition / liveable",2,"central",198000,"no","Esterno",5.077
"57",95,"1","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","available",44,1950,"to be refurbished",2,"independent",620000,"yes","Circonvalla",12.786
"58",60,"2","no","3","video entryphone | security door | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","available",306,1965,"excellent / refurbished",-0.5,"central",249000,"no","Esterno",3.916
"59",115,"2","no","4","electric gate | video entryphone | security door | balcony | terrace | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","unknown",36,2001,"good condition / liveable",2,"independent",415000,"yes","Esterno",9.018
"60",135,"1","no","3","tavern | terrace | centralized tv system | cellar | window frames in glass / wood | double exposure","available",165,1900,"to be refurbished",0.5,"independent",830000,"no","Centro_Storico",9.627
"61",140,"3","yes","5","alarm system | kitchen | partially furnished | window frames in glass / metal","available",185,1930,"excellent / refurbished",0,"central",845000,"no","Centro_Storico",10.956
"62",56,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | balcony | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal","available",6,1976,"excellent / refurbished",4,"independent",470000,"yes","Circonvalla",12.374
"63",50,"1","yes","2","centralized tv system | shared garden | window frames in double glass / wood | double exposure","available",272,1930,"excellent / refurbished",1,"independent",395000,"no","Centro_Storico",4.3
"64",130,"1","yes","4","security door | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","unknown",198,1930,"to be refurbished",0.5,"central",780000,"no","Circonvalla",4.745
"65",70,"1","yes","2","video entryphone | security door | balcony | full day concierge | double exposure","unknown",89,1960,"excellent / refurbished",4,"central",269000,"no","Esterno",3.723
"66",28,"1","no","1","optic fiber | internal exposure","available",242,1930,"good condition / liveable",4,"independent",85000,"no","Esterno",1.978
"67",90,"2","yes","3","electric gate | attic | optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | window frames in double glass / pvc","available",165,1970,"excellent / refurbished",1,"central",470000,"no","Esterno",10.455
"68",80,"2","no","2","attic | optic fiber | security door | internal exposure | closet | balcony | single tv system | partially furnished | window frames in double glass / wood","available",287,1940,"excellent / refurbished",1,"independent",460000,"no","Circonvalla",13.548
"69",140,"2","yes","5","security door | balcony | full day concierge | cellar","available",332,1951,"new / under construction",3,"central",1017000,"no","Circonvalla",2.243
"70",159,"2","yes","4","electric gate | attic | optic fiber | video entryphone | alarm system | security door | balcony | terrace | centralized tv system | cellar | shared garden | window frames in triple glass / pvcdouble exposure","available",89,2024,"new / under construction",2,"independent",570000,"yes","Esterno",14.739
"71",60,"1","yes","2","electric gate | optic fiber | security door | external exposure | closet | balcony | centralized tv system | partially furnished | cellar | window frames in double glass / pvc","available",89,1960,"excellent / refurbished",4,"central",249000,"no","Esterno",9.48
"72",45,"1","no","1","optic fiber | security door | terrace | partially furnished | double exposure","available",332,1900,"good condition / liveable",3,"central",169000,"no","Esterno",5.241
"73",110,"2","yes","3","optic fiber | video entryphone | security door | terrace | centralized tv system | cellar | window frames in double glass / wood | double exposure","available",315,1955,"good condition / liveable",1,"independent",645000,"no","Circonvalla",6.848
"74",232,"3+","yes","5","optic fiber | closet | balcony | terrace | centralized tv system | partially furnished | cellar | window frames in double glass / metal | double exposure","available",89,1979,"excellent / refurbished",3,"independent",980000,"yes","Esterno",9.823
"75",41,"1","no","1","security door | shared garden | window frames in double glass / pvc","available",3,1960,"excellent / refurbished",0.5,"central",95000,"no","Esterno",2.741
"76",60,"1","yes","2","electric gate | optic fiber | security door | centralized tv system | partially furnished | shared garden | window frames in glass / metal | double exposure","available",128,1960,"excellent / refurbished",-0.5,"independent",220000,"no","Esterno",9.562
"77",77,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | centralized tv system | cellar | private garden | window frames in triple glass / pvcdouble exposure","available",54,2024,"new / under construction",0,"independent",270000,"yes","Esterno",12.032
"78",91,"1","no","2","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | terrace | centralized tv system | cellar | window frames in double glass / metal","available",329,1950,"good condition / liveable",1,"independent",299000,"no","Esterno",9.654
"79",172,"2","yes","5","optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","available",243,1961,"to be refurbished",5,"central",890000,"no","Circonvalla",7.244
"80",60,"1","yes","2","security door | external exposure | balcony | half-day concierge | centralized tv system | window frames in double glass / pvc","available",54,1960,"good condition / liveable",2,"central",255000,"no","Esterno",6.566
"81",73,"1","yes","2","external exposure | balcony | terrace | single tv system | cellar | window frames in glass / wood","unknown",114,1960,"to be refurbished",1,"central",159000,"no","Esterno",9.315
"83",54,"1","yes","2","internal exposure | centralized tv system | cellar | window frames in double glass / metal","available",43,1960,"good condition / liveable",6,"central",209000,"no","Esterno",4.472
"84",106,"1","no","4","security door | balcony | single tv system | cellar | window frames in glass / wood | double exposure","available",95,1970,"to be refurbished",1,"central",285000,"yes","Esterno",7.471
"85",85,"1","no","2","optic fiber | video entryphone | security door | centralized tv system | window frames in double glass / pvcdouble exposure","available",3,1960,"excellent / refurbished",0.5,"central",265000,"no","Esterno",3.484
"86",168,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | full day concierge | single tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",296,2023,"new / under construction",5,"central",1690000,"no","Centro_Storico",11.031
"87",115,"2","yes","3","security door | balcony","available",332,1972,"new / under construction",3,"central",909000,"no","Circonvalla",0.709
"89",80,"1","yes","3","optic fiber | video entryphone | alarm system | security door | external exposure | closet | full day concierge | centralized tv system | window frames in double glass / pvc","available",104,1960,"excellent / refurbished",0.5,"central",715000,"no","Centro_Storico",9.081
"90",90,"1","yes","3","electric gate | optic fiber | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","unknown",129,1970,"good condition / liveable",1,"central",242000,"yes","Esterno",5.464
"91",38,"1","no","2","optic fiber | video entryphone | security door | internal exposure | centralized tv system | furnished | cellar | window frames in double glass / pvc","available",3,1960,"good condition / liveable",0.5,"central",185000,"no","Esterno",7.01
"92",65,"1","yes","2","balcony | furnished | window frames in double glass / pvcexposure east, west","available",82,1960,"excellent / refurbished",8,"central",385000,"no","Esterno",8.641
"93",80,"1","yes","2","optic fiber | security door | internal exposure | full day concierge | single tv system | cellar | shared garden | window frames in triple glass / pvc","available",332,2023,"excellent / refurbished",7,"central",269000,"yes","Esterno",11.157
"94",107,"2","yes","4","electric gate | optic fiber | internal exposure | closet | terrace | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal","available",137,1970,"good condition / liveable",1,"central",3e+05,"yes","Esterno",11.943
"95",80,"1","no","3","optic fiber | security door | balcony | centralized tv system | partially furnished | window frames in double glass / metal | double exposure","available",129,1950,"good condition / liveable",3,"central",299000,"no","Esterno",6.57
"97",58,"1","no","2","optic fiber | security door | centralized tv system | window frames in double glass / pvc","available",95,2023,"new / under construction",0,"central",369000,"no","Circonvalla",2.648
"98",85,"1","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc","available",76,1960,"excellent / refurbished",1,"central",342000,"no","Esterno",11.766
"99",65,"2","yes","3","electric gate | optic fiber | video entryphone | security door | external exposure | closet | balcony | centralized tv system | partially furnished | window frames in glass / pvc","available",145,1980,"excellent / refurbished",2,"central",365000,"no","Esterno",12.158
"100",120,"2","yes","3","electric gate | optic fiber | video entryphone | security door | external exposure | closet | centralized tv system | partially furnished | cellar | window frames in double glass / wood","available",151,1955,"excellent / refurbished",0,"central",375000,"yes","Circonvalla",9.773
"102",96,"1","yes","3","optic fiber | video entryphone | alarm system | security door | terrace | cellar | shared garden | window frames in double glass / wood","unknown",36,2010,"excellent / refurbished",1,"independent",634000,"yes","Esterno",7.571
"103",150,"2","yes","3","optic fiber | security door | balcony | full day concierge | centralized tv system | partially furnished | cellar | window frames in glass / wood | double exposure","available",197,1970,"excellent / refurbished",7,"central",950000,"yes","Esterno",8.328
"104",45,"1","no","2","electric gate | optic fiber | security door | external exposure | half-day concierge | centralized tv system | cellar | window frames in double glass / pvc","available",30,1930,"excellent / refurbished",2,"independent",246000,"no","Esterno",7.794
"105",74,"1","yes","2","security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","available",129,1960,"good condition / liveable",2,"central",335000,"no","Esterno",5.418
"106",86,"1","no","3","video entryphone | security door | centralized tv system | furnished | cellar | window frames in double glass / pvc","available",95,1960,"excellent / refurbished",1,"central",355000,"no","Esterno",5.032
"107",40,"1","yes","1","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | terrace | centralized tv system | window frames in triple glass / wood","available",54,2023,"new / under construction",1,"independent",262000,"yes","Circonvalla",11.78
"108",48,"1","no","2","optic fiber | video entryphone | security door | internal exposure | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","available",13,1970,"excellent / refurbished",1,"central",219000,"yes","Esterno",7.844
"109",95,"2","yes","3","electric gate | optic fiber | security door | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / metal | double exposure","unknown",63,1980,"good condition / liveable",6,"central",264000,"yes","Esterno",10.616
"110",149,"2","yes","4","security door | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","available",193,1970,"good condition / liveable",5,"central",695000,"yes","Esterno",7.567
"111",160,"2","yes","4","hydromassage | electric gate | security door | closet | balcony | full day concierge | partially furnished | cellar | window frames in double glass / pvcdouble exposure","available",206,1951,"excellent / refurbished",2,"central",1350000,"yes","Circonvalla",11.663
"112",30,"1","no","1","none","unknown",242,1950,"to be refurbished",1,"central",107000,"no","Esterno",5.991
"113",65,"1","yes","2","electric gate | optic fiber | video entryphone | security door | closet | centralized tv system | furnished | window frames in double glass / pvcdouble exposure","not available yet",17,1900,"excellent / refurbished",0,"independent",4e+05,"no","Circonvalla",7.192
"114",100,"2","yes","3","security door | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","available",89,1900,"excellent / refurbished",1,"central",760000,"no","Circonvalla",6.137
"115",50,"1","yes","2","electric gate | fireplace | optic fiber | security door | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal | double exposure","available",319,1800,"excellent / refurbished",1,"independent",349000,"no","Circonvalla",12.484
"116",67,"1","yes","3","optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | partially furnished | shared garden | window frames in double glass / metal","available",73,1970,"good condition / liveable",4,"central",459000,"no","Esterno",8.655
"117",165,"3","yes","5+","electric gate | optic fiber | video entryphone | security door | balcony | terrace | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",228,1970,"good condition / liveable",2,"central",1350000,"yes","Circonvalla",9.692
"118",700,"3+","no","5+","hydromassage | electric gate | fireplace | tavern | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | single tv system | cellar | private garden | window frames in glass / metal | double exposure","available",89,1972,"good condition / liveable",0,"independent",1900000,"yes","Esterno",29.182
"119",49,"1","yes","2","electric gate | optic fiber | security door | internal exposure | cellar | window frames in double glass / pvc","available",309,1960,"excellent / refurbished",4,"central",230000,"no","Esterno",5.224
"120",255,"3","yes","4","electric gate | fireplace | optic fiber | video entryphone | alarm system | security door | external exposure | balcony | terrace | full day concierge | centralized tv system | cellar | window frames in double glass / wood","unknown",68,1968,"excellent / refurbished",4,"central",1980000,"no","Centro_Storico",14.738
"122",48,"1","no","2","electric gate | optic fiber | video entryphone | security door | closet | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",3,1900,"excellent / refurbished",2,"independent",340000,"no","Circonvalla",10.554
"123",41,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | half-day concierge | centralized tv system | only kitchen furnished | cellar | window frames in double glass / pvc","available",63,1930,"excellent / refurbished",2,"independent",360000,"no","Circonvalla",13.072
"124",50,"1","no","2","optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / pvc","available",3,1900,"excellent / refurbished",1,"independent",415000,"no","Centro_Storico",6.975
"126",150,"2","yes","4","electric gate | optic fiber | security door | terrace | full day concierge | centralized tv system | cellar | shared garden | double exposure","available",243,1976,"to be refurbished",6,"central",795000,"yes","Esterno",6.955
"127",64,"1","yes","2","electric gate | optic fiber | video entryphone | security door | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal | double exposure","available",54,1975,"excellent / refurbished",0,"central",458000,"no","Circonvalla",9.136
"130",77,"1","yes","3","video entryphone | security door | window frames in triple glass / metal | double exposure","available",309,2024,"new / under construction",2,"independent",619000,"no","Circonvalla",6.74
"131",35,"1","yes","1","security door | internal exposure | centralized tv system | furnished | window frames in double glass / pvc","available",54,1960,"excellent / refurbished",-0.5,"central",177000,"no","Esterno",5.362
"132",43,"1","yes","2","optic fiber | security door | external exposure | full day concierge | centralized tv system | shared garden | window frames in double glass / pvc","available",54,1970,"excellent / refurbished",0.5,"central",435000,"no","Circonvalla",6.294
"134",70,"1","yes","2","security door | centralized tv system | shared garden | window frames in glass / wood | double exposure","available",30,1900,"good condition / liveable",2,"independent",450000,"no","Circonvalla",4.925
"135",43,"1","no","2","video entryphone | full day concierge | furnished | shared garden","available",332,1990,"excellent / refurbished",0,"central",305000,"no","Esterno",4.07
"136",105,"2","yes","3","security door | balcony | cellar","available",332,1974,"new / under construction",1,"central",837000,"no","Circonvalla",1.251
"137",100,"1","yes","3","electric gate | optic fiber | alarm system | security door | external exposure | closet | balcony | centralized tv system | window frames in double glass / metal","available",20,1960,"good condition / liveable",2,"independent",345000,"no","Esterno",8.999
"138",35,"1","yes","1","optic fiber | alarm system | security door | internal exposure | closet | balcony | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","unknown",30,1970,"good condition / liveable",3,"central",99000,"no","Esterno",12.554
"140",80,"1","yes","2","fireplace | security door | external exposure | balcony | terrace | full day concierge | furnished | window frames in double glass / wood","available",89,1950,"good condition / liveable",8,"central",360000,"no","Esterno",11.948
"141",76,"1","yes","2","electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","available",27,1960,"good condition / liveable",6,"central",265000,"no","Esterno",7.883
"142",50,"1","yes","2","electric gate | optic fiber | internal exposure | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / wood","available",54,1965,"to be refurbished",2,"central",230000,"no","Esterno",8.393
"143",95,"1","yes","3","electric gate | optic fiber | security door | terrace | half-day concierge | centralized tv system | cellar | window frames in double glass / metal | double exposure","available",186,1950,"excellent / refurbished",2,"central",1180000,"no","Centro_Storico",9.131
"144",93,"2","yes","3","balcony | terrace | single tv system | cellar","available",332,1953,"new / under construction",2,"independent",310000,"yes","Esterno",5.255
"145",136,"2","yes","3","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | terrace | full day concierge | centralized tv system | window frames in double glass / pvc","not available yet",206,1960,"good condition / liveable",4,"central",1040000,"no","Circonvalla",9.011
"146",80,"1","no","3","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | closet | balcony | terrace | tv system with satellite dish | window frames in double glass / metal","available",1,1970,"excellent / refurbished",3,"central",390000,"no","Esterno",14.919
"147",100,"1","yes","3","attic | optic fiber | video entryphone | closet | balcony | centralized tv system | partially furnished | cellar | window frames in glass / wood | double exposure","available",151,1960,"to be refurbished",8,"central",395000,"no","Circonvalla",12.441
"148",55,"1","no","2","electric gate | tavern | optic fiber | video entryphone | alarm system | security door | closet | centralized tv system | furnished | cellar | window frames in double glass / metal | double exposure","available",3,1960,"excellent / refurbished",1,"independent",240000,"no","Esterno",14.423
"149",130,"2","yes","4","electric gate | fireplace | optic fiber | video entryphone | alarm system | security door | closet | terrace | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / metal | double exposure","available",157,1976,"excellent / refurbished",1,"central",475000,"no","Esterno",20.789
"150",125,"2","no","2","electric gate | optic fiber | video entryphone | security door | terrace | centralized tv system | partially furnished | window frames in double glass / metal | double exposure","unknown",216,1957,"excellent / refurbished",0,"independent",525000,"yes","Esterno",9.097
"151",70,"1","yes","3","electric gate | video entryphone | security door | terrace | full day concierge | single tv system | cellar | window frames in double glass / pvcdouble exposure","available",20,1960,"excellent / refurbished",1,"central",299000,"yes","Esterno",9.275
"152",76,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in triple glass / pvc","available",332,2023,"new / under construction",1,"central",395000,"yes","Esterno",13.659
"153",130,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | terrace | centralized tv system | partially furnished | cellar | window frames in double glass / wood","available",89,2019,"excellent / refurbished",4,"central",655000,"yes","Esterno",12.61
"154",46,"1","no","1","security door | external exposure | centralized tv system | window frames in double glass / metal","available",242,1970,"excellent / refurbished",0,"independent",220000,"no","Esterno",4.372
"155",85,"2","yes","4","electric gate | optic fiber | video entryphone | security door | external exposure | closet | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","available",3,1965,"excellent / refurbished",0,"central",420000,"no","Esterno",12.244
